"x"
"1"	28
"2"	33
"3"	34
"4"	45
"5"	47
"6"	49
"7"	52
"8"	65
"9"	90
"10"	92
"11"	100
"12"	109
"13"	110
"14"	124
"15"	140
"16"	145
"17"	148
"18"	167
"19"	168
"20"	171
"21"	178
"22"	180
"23"	183
"24"	187
"25"	189
"26"	194
"27"	216
"28"	225
"29"	247
"30"	251
"31"	298
"32"	300
"33"	301
"34"	305
"35"	306
"36"	308
"37"	315
"38"	321
"39"	370
"40"	378
"41"	390
"42"	406
"43"	415
"44"	456
"45"	467
"46"	474
"47"	475
"48"	478
"49"	480
"50"	481
"51"	495
"52"	497
"53"	509
"54"	527
"55"	532
"56"	548
"57"	571
"58"	572
"59"	578
"60"	600
"61"	641
"62"	643
"63"	646
"64"	647
"65"	652
"66"	660
"67"	661
"68"	666
"69"	674
"70"	686
"71"	701
"72"	732
"73"	737
"74"	740
"75"	750
"76"	779
"77"	801
"78"	804
"79"	808
