"x"
"1"	3
"2"	18
"3"	29
"4"	43
"5"	56
"6"	67
"7"	70
"8"	71
"9"	76
"10"	78
"11"	89
"12"	105
"13"	122
"14"	123
"15"	127
"16"	128
"17"	131
"18"	162
"19"	221
"20"	241
"21"	246
"22"	249
"23"	263
"24"	271
"25"	285
"26"	310
"27"	313
"28"	316
"29"	317
"30"	345
"31"	357
"32"	368
"33"	369
"34"	374
"35"	403
"36"	417
"37"	428
"38"	429
"39"	431
"40"	443
"41"	444
"42"	452
"43"	453
"44"	462
"45"	465
"46"	470
"47"	479
"48"	483
"49"	488
"50"	492
"51"	494
"52"	502
"53"	503
"54"	507
"55"	511
"56"	531
"57"	536
"58"	550
"59"	553
"60"	612
"61"	616
"62"	617
"63"	618
"64"	620
"65"	668
"66"	670
"67"	673
"68"	678
"69"	699
"70"	729
"71"	744
"72"	747
"73"	766
"74"	780
"75"	784
